Animal,Age,Gender,Breed,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Disease_PPR,Disease_Anthrax,Disease_FootRot,Disease_Enterotoxemia,Disease_Parasites,Disease_CaprineArthritisEncephalitis,Disease_CaseousLymphadenitis,Disease_Anemia,Disease_Leukemia,Disease_ViralInfection,Disease_BloodParasites,Disease_BacterialInfection,Disease_AvianLeukosis,Disease_DuckViralDiseases,Disease_Colic,Disease_Strangles,Disease_EquineInfluenza,Disease_Laminitis,Disease_Rabies,Disease_EquineAnemia,Disease_EquineInfectiousAnemia,Disease_Bluetongue,Disease_Scrapie,Disease_OvineJohnesDisease,Disease_SheepPox,Disease_FungalInfection,Disease_Scurvy,Disease_Myxomatosis,Disease_HemorrhagicDisease,Disease_FelineLeukemia,Disease_Ringworm,Disease_FIV,Disease_KidneyDisease,Disease_Hyperthyroidism,Disease_Diabetes,Disease_AvianInfluenza,Disease_NewcastleDisease,Disease_MareksDisease,Disease_Coccidiosis,Disease_FowlPox,Disease_FowlCholera,Disease_Mastitis,Disease_FootMouth,Disease_BovineTB,Disease_Anaplasmosis,Disease_Brucellosis,Disease_LumpySkinDisease,Disease_BovineViralDiarrhea,Disease_Parvovirus,Disease_Distemper,Disease_Heartworm,Disease_SkinInfection,Disease_Leptospirosis,Disease_LymeDisease,Disease_VarroaInfection,Disease_SwineFlu,Disease_AfricanSwineFever,Disease_EColi,Disease_PRRS,Disease_PorcineCircovirus,Disease_Erysipelas,Disease_Trypanosomiasis,Disease_HemorrhagicSepticemia,Disease_WetTail,Disease_RespiratoryInfection,Disease_Tuberculosis,Disease_DuckViralEnteritis,Disease_DuckHepatitis,Disease_BlackheadDisease,Disease_Salmonellosis
Deer,20,Male,Breed3,12057.11,6.42,10.5,346065.07,87.59,33.23,22.64,27.71,0.94,1,1,1,0,1,0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,13,Male,Breed2,7976.23,6.01,13.09,197528.85,87.49,41.1,43.82,48.68,1.71,1,1,1,0,0,1,,,,,,,,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse,17,Female,Breed4,11623.83,5.19,15.18,192860.62,61.72,28.43,33.52,42.81,1.45,0,1,0,0,1,0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse,4,Male,Breed1,4157.61,7.54,17.93,317246.17,90.83,43.63,27.32,25.36,1.12,0,0,1,0,1,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse,1,Male,Breed3,7571.12,7.61,11.89,163939.91,104.26,32.48,48.53,35.39,1.2,0,1,0,0,1,1,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,1,Female,Breed3,7509.48,5.17,17.34,268059.28,87.14,33.81,29.65,17.77,0.87,0,1,1,1,1,1,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig,15,Female,Breed1,12237.19,4.62,10.55,269703.32,98.76,37.07,45.49,21.61,1.31,0,1,0,0,0,1,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,13,Female,Breed3,7460.13,4.6,17.45,208899.94,91.95,43.84,20.57,18.08,1.25,1,1,1,0,0,0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse,17,Male,Breed1,10966.6,5.94,16.66,240303.66,107.11,10.19,27.67,40.05,1.91,1,0,0,0,1,1,,,,,,,,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit,8,Male,Breed4,11573.77,4.53,10.17,248984.47,90.87,25.7,13.36,10.33,1.26,1,1,1,0,0,0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant,18,Male,Breed3,11242.68,5.89,12.39,153527.58,79.9,48.52,26.91,26.29,1.67,1,1,1,1,1,0,,,,,,,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,13,Female,Breed3,10636.23,5.85,10.41,391767.42,109.65,13.95,45.78,43.5,1.42,0,1,1,1,1,0,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat,14,Male,Breed1,8549.79,7.54,17.96,437233.87,64.06,19.34,43.18,38.36,0.84,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse,8,Male,Breed1,8106.35,5.18,13.42,236779.96,77.37,32.84,49.03,26.87,0.57,0,0,0,0,1,0,,,,,,,,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,8,Female,Breed4,10210.42,6.24,15.3,183595.67,95.49,44.32,39.99,35.32,1.55,1,1,1,1,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catfish,15,Male,Breed1,4700.73,6.97,11.87,436065.64,111.36,13.89,20.86,27.27,1.7,0,1,1,1,1,1,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow,13,Female,Breed1,13634.02,6.38,17.47,372165.31,64.33,10.16,16.43,43.76,1.81,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Cat,7,Female,Breed4,13078.47,7.82,12.19,417342.73,65.76,37.48,17.18,32.9,1.53,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,5,Female,Breed2,7810.23,6.41,12.08,258262.85,76.94,33.89,36.46,35.3,1.15,1,0,1,1,1,0,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,17,Male,Breed2,10235.01,7.61,12.52,295218.68,80.67,20.84,25.29,49.54,1.24,1,1,0,0,0,0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog,16,Male,Breed1,14254.5,4.98,13.7,429071.91,110.61,48.3,26.56,40.8,1.64,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
Chicken,2,Male,Breed4,6988.0,6.24,10.15,287865.73,117.53,32.37,44.42,21.44,0.77,0,0,0,0,1,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,18,Female,Breed2,12167.01,6.17,14.78,351628.59,61.03,36.54,39.07,40.92,1.18,1,0,0,0,0,0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant,17,Female,Breed4,4910.05,7.96,10.25,361439.64,60.92,25.15,18.37,47.14,0.58,0,0,0,0,0,0,,,,,,,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,7,Female,Breed1,9757.09,4.82,14.31,401134.15,111.89,46.86,16.84,21.8,0.66,1,1,0,1,1,1,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,13,Male,Breed1,13723.66,4.56,13.66,442553.7,68.14,21.04,42.88,42.69,0.85,0,1,0,0,1,1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snake,18,Male,Breed4,10068.8,6.45,11.94,250469.8,80.36,39.95,48.14,19.51,1.45,0,1,0,0,0,0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama,14,Male,Breed3,10778.78,4.89,12.64,224235.25,76.51,14.67,17.41,27.36,1.88,0,1,1,1,1,0,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frog,18,Male,Breed1,13984.03,6.56,15.65,173311.78,76.91,31.51,48.07,37.61,1.05,0,1,0,0,1,0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frog,13,Male,Breed1,11868.97,7.89,10.08,406961.26,79.72,33.11,27.19,19.74,1.25,1,1,0,0,1,0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeybee,11,Female,Breed1,11654.57,7.79,12.53,237803.96,80.16,17.53,46.23,17.49,1.36,1,1,0,1,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Pig,16,Male,Breed1,10450.22,4.92,15.44,164883.84,97.21,22.95,40.03,28.5,0.93,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
Salmon,17,Female,Breed4,10962.87,4.68,11.22,409581.14,97.73,17.15,46.2,41.33,1.53,0,0,1,0,1,0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,8,Female,Breed4,12840.76,6.24,14.48,302972.83,91.37,43.8,35.81,33.83,0.82,0,0,0,0,1,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,19,Male,Breed4,14771.56,6.35,11.35,401493.96,111.51,36.29,16.28,38.05,0.78,1,1,0,1,1,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
Goose,20,Female,Breed4,12748.58,6.65,11.24,316344.59,110.74,27.86,12.41,37.57,0.81,1,0,0,0,0,0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catfish,15,Male,Breed3,11782.91,6.97,16.18,244118.92,73.03,32.24,35.08,31.78,1.22,1,0,0,1,0,0,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catfish,9,Male,Breed4,5490.99,6.4,12.13,188934.48,92.62,23.76,12.33,22.62,0.88,0,1,1,1,0,0,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,20,Female,Breed4,12987.88,4.45,13.01,281148.45,107.03,27.15,19.44,26.87,1.15,1,1,1,1,0,1,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catfish,10,Male,Breed1,12095.94,7.16,15.84,157964.71,112.01,34.77,18.25,25.22,1.07,1,0,1,1,1,0,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,12,Male,Breed3,12474.75,4.32,11.44,330737.83,75.31,18.46,27.08,13.16,1.75,1,1,1,1,1,1,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,20,Female,Breed1,6542.06,4.08,14.25,278299.39,89.65,15.36,33.9,45.94,0.83,0,1,0,0,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,1,Female,Breed3,13937.88,7.08,17.34,192457.09,91.5,47.78,46.45,35.67,0.96,1,1,1,1,1,0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,20,Female,Breed2,5070.1,6.19,14.43,309070.35,101.98,19.47,47.45,44.29,1.93,0,0,0,1,1,1,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snake,9,Female,Breed3,6789.73,6.79,10.39,390273.21,79.82,29.81,49.29,41.04,0.87,1,0,1,0,0,1,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit,15,Female,Breed3,11293.26,5.53,14.72,442440.09,77.61,40.46,40.55,12.73,1.7,1,1,1,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamster,1,Female,Breed1,11410.86,4.04,10.72,308207.55,102.34,32.24,46.85,18.65,0.71,0,0,0,1,0,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Deer,12,Male,Breed3,7446.57,5.32,12.26,188865.29,83.96,35.39,41.63,48.03,1.38,0,0,1,1,1,0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat,3,Male,Breed3,11716.72,6.43,16.8,393211.86,60.24,16.54,46.42,28.48,0.64,1,0,1,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,11,Male,Breed1,8267.24,4.9,10.09,358736.58,116.27,25.8,14.17,42.48,1.11,1,1,1,1,1,0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,2,Female,Breed2,4001.93,6.75,10.62,436191.37,68.98,37.61,48.46,33.02,1.93,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
Goat,16,Male,Breed2,5788.67,7.18,12.91,310563.9,68.92,18.39,19.38,42.94,1.46,1,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpaca,9,Female,Breed2,13708.8,5.82,18.0,257131.17,109.1,29.34,32.74,39.38,0.81,1,0,0,1,1,0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig,15,Male,Breed3,6449.63,7.5,12.33,438852.04,80.13,33.57,30.67,21.19,1.71,0,0,1,0,1,0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snake,12,Female,Breed1,5242.01,7.42,11.26,311533.37,79.69,41.57,32.58,49.65,1.48,0,1,0,1,1,1,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,1,Male,Breed2,11504.21,7.51,14.4,154771.7,97.34,18.65,38.08,29.62,1.89,1,1,0,0,1,0,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck,13,Female,Breed2,8847.77,6.64,14.15,292100.7,63.54,49.12,31.58,33.4,0.84,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Alpaca,14,Female,Breed2,12762.5,5.22,13.6,150713.41,74.22,48.7,37.55,31.62,0.68,0,0,0,0,1,0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,8,Female,Breed2,13475.89,5.93,17.57,371312.34,63.2,10.49,31.38,45.41,1.45,0,0,1,0,1,1,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,8,Female,Breed1,13305.88,6.84,12.24,319783.53,77.49,24.72,10.48,21.2,1.87,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
Turtle,12,Male,Breed2,7443.1,4.84,12.35,182940.33,112.2,12.71,35.09,12.47,1.67,0,0,0,1,0,0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,1,Male,Breed3,9561.01,6.96,11.12,393903.39,114.56,22.69,32.21,27.12,1.12,0,0,1,1,0,1,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat,11,Female,Breed3,11151.56,6.19,15.58,310931.17,78.57,34.28,33.43,46.73,1.15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,8,Female,Breed1,7541.81,4.38,12.57,184218.11,71.26,34.35,10.06,27.57,1.0,1,1,0,1,1,0,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,10,Female,Breed4,4452.09,6.23,16.42,198003.26,68.12,13.87,28.75,21.1,1.88,1,1,0,0,1,0,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,19,Male,Breed2,9452.31,4.27,17.77,396631.16,83.67,37.08,45.0,34.74,1.72,0,0,0,0,0,0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,11,Female,Breed2,4141.0,4.06,10.35,256646.06,109.58,43.85,23.3,39.5,0.9,1,1,0,0,0,1,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat,7,Female,Breed3,14457.1,7.56,17.94,396328.82,111.16,35.25,27.8,28.51,0.98,1,0,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,11,Male,Breed1,12763.52,5.96,12.03,170851.01,62.76,22.4,14.9,25.2,1.61,0,0,0,1,0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,17,Female,Breed4,6112.11,6.17,13.36,223157.72,72.55,10.1,28.01,24.58,1.14,0,0,1,1,0,1,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,1,Female,Breed3,7163.29,5.12,16.22,379374.78,72.19,35.94,25.83,26.85,1.41,0,1,1,0,0,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,8,Male,Breed4,14811.22,6.17,15.32,342510.64,109.71,37.11,45.32,43.71,0.73,1,0,1,1,1,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
